hop_name,location,code,ptr_lat,ptr_lon,ptr_city
ae13.r22.lon01.mag.netarch.akamai.com,lon,GB-ENG,51.4706,-0.461941,London
ae4.r21.lon01.ien.netarch.akamai.com,lon,GB-ENG,51.4706,-0.461941,London
e0-2.switch4.lax1.he.net,lax,US-CA,33.942501,-118.407997,Los Angeles
ce-1-4-2.a01.tokyjp10.jp.ce.gin.ntt.net,tokyjp|jp,,,,
ae2.cr3-tyo1.ip4.gtt.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ce-3-5-3.a01.tokyjp09.jp.bb.gin.ntt.net,tokyjp|jp,,,,
ae-10.r33.tokyjp05.jp.bb.gin.ntt.net,tokyjp|jp,,,,
ae-16.a00.tokyjp09.jp.bb.gin.ntt.net,tokyjp|jp,,,,
ae20-0.icr02.tyo31.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae25-0.icr01.tyo31.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
msw1am.01.nrt1.tfbnw.net,nrt,JP-12,35.764702,140.386002,Tokyo / Narita
HundredGE0-4-0-2.br02.tok02.as3491.net,tok,JP-13,35.6895,139.69171,Tokyo
TenGE0-2-0-0.br04.sjo01.as3491.net,sjo,US-CA,37.33939,-121.89496,San Jose
vlan100.r07.tor01.tyo02.fab.netarch.akamai.com,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
